Councils,Link
adur,https://www.adur-worthing.gov.uk/about-the-councils/finance/statement-of-accounts/
allerdale,https://www.allerdale.gov.uk/en/about-council/statement-accounts/
amber valley,https://www.ambervalley.gov.uk/council/budgets-and-spending/
arun,https://www.arun.gov.uk/financial-information/
ashfield,https://www.ashfield.gov.uk/your-council/public-data/finances/statement-of-accounts-and-audit-reports/
ashford,https://www.ashford.gov.uk/transparency/expenditure/budgeting-and-statement-of-accounts/
avon fire,https://avonfire.gov.uk/documents/category/70-statement-of-accounts
aylesbury vale,https://www.aylesburyvaledc.gov.uk/statement-accounts
babergh,https://www.babergh.gov.uk/the-council/finance/statements-of-accounts/
barking and dagenham,https://www.lbbd.gov.uk/accounts-and-budget
barnet,http://www.barnet.gov.uk/your-council/finance-funding-and-pensions/statement-accounts
barnsley,https://www.barnsley.gov.uk/services/our-council/our-performance/annual-accounts/
barrow-in-furness,https://www.barrowbc.gov.uk/the-council/financial-services/accounts/
basildon,https://www.basildon.gov.uk/annual-financial-reports
basingstoke and deane,https://www.basingstoke.gov.uk/content/doclib/3084.pdf
bassetlaw,https://www.bassetlaw.gov.uk/about-us/finance-and-budgets/annual-statement-of-accounts-and-audit-reports-201920/
bath & north east somerset,https://www.bathnes.gov.uk/services/your-council-and-democracy/budgets-and-spending/annual-accounts
bedford,https://www.bedford.gov.uk/council-and-democracy/about-the-council/council-budgets-and-spending/statement-of-accounts/
bedfordshire fire,https://www.bedsfire.gov.uk/About/Finance-and-budget/Statement-of-accounts.aspx
berkshire fire authority,https://www.rbwm.gov.uk/sites/default/files/2020-08/finance_draft_statement_of_accounts_2019_2020.pdf
bexley,https://www.bexley.gov.uk/about-the-council/council-budgets-and-spending/annual-accounts
birmingham,https://www.birmingham.gov.uk/accounts
blaby,https://www.blaby.gov.uk/your-council/performance-and-budgets/annual-accounts/
blackburn with darwen,http://www.blackburn.gov.uk/financial/accounts-and-expenditure
blackpool,"https://www.blackpool.gov.uk/Your-Council/Transparency-and-open-data/Budget,-spending-and-procurement/Annual-accounts.aspx"
bolsover,https://www.bolsover.gov.uk/a/196-accounts-and-budgets/244-accounts
bolton,https://www.bolton.gov.uk/finance-spending/statement-accounts
boston,https://www.mybostonuk.com/finance/
bournemouth,https://www.bournemouth.gov.uk/councildemocratic/bournemouth-borough-council-historical-information/AboutYourCouncil/strategicfinance/StatementofAccounts.aspx
